Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000039340.14	ENSMUSG00000041138	ENSMUSG00000041138.16
ENSMUST00000091763.2	ENSMUSG00000041138	ENSMUSG00000041138.16
ENSMUST00000025729.11	ENSMUSG00000024811	ENSMUSG00000024811.11
ENSMUST00000167724.1	ENSMUSG00000024811	ENSMUSG00000024811.11
ENSMUST00000168718.1	ENSMUSG00000024811	ENSMUSG00000024811.11
ENSMUST00000164665.1	ENSMUSG00000024811	ENSMUSG00000024811.11
ENSMUST00000047745.5	ENSMUSG00000042250	ENSMUSG00000042250.13
ENSMUST00000169698.7	ENSMUSG00000042250	ENSMUSG00000042250.13
ENSMUST00000231988.1	ENSMUSG00000033618	ENSMUSG00000033618.7
ENSMUST00000232240.1	ENSMUSG00000033618	ENSMUSG00000033618.7
ENSMUST00000042065.6	ENSMUSG00000033618	ENSMUSG00000033618.7
ENSMUST00000121715.7	ENSMUSG00000030650	ENSMUSG00000030650.18
ENSMUST00000121744.8	ENSMUSG00000030650	ENSMUSG00000030650.18
ENSMUST00000155572.1	ENSMUSG00000030650	ENSMUSG00000030650.18
ENSMUST00000057320.7	ENSMUSG00000030650	ENSMUSG00000030650.18
ENSMUST00000098088.10	ENSMUSG00000030650	ENSMUSG00000030650.18
ENSMUST00000109333.7	ENSMUSG00000061474	ENSMUSG00000061474.11
ENSMUST00000078573.4	ENSMUSG00000061474	ENSMUSG00000061474.11
ENSMUST00000064214.3	ENSMUSG00000052382	ENSMUSG00000052382.5
ENSMUST00000189518.1	ENSMUSG00000100055	ENSMUSG00000100055.1
ENSMUST00000024704.9	ENSMUSG00000023911	ENSMUSG00000023911.12
ENSMUST00000032070.3	ENSMUSG00000030001	ENSMUSG00000030001.4
ENSMUST00000219404.1	ENSMUSG00000025355	ENSMUSG00000025355.7
ENSMUST00000026411.7	ENSMUSG00000025355	ENSMUSG00000025355.7
ENSMUST00000111016.8	ENSMUSG00000050808	ENSMUSG00000050808.13
